year,country_id_iso_3,country,currency_unit,population,employees,real_gdp_expenditures,real_gdp_output,current_consumption,current_absorption,current_gdp_expenditures,current_gdp_output,current_capital_stock,real_gdp_na,real_consumption_na,real_absorption_na,real_capital_stock_na,average_hours_worked,average_depreciation,current_capital_level,current_tfp_level,current_wtfp_level,real_capital_level_na,real_tfp_level_na,real_wtfp_level_na,price_level_ccon,price_level_cda,price_level_cgdpo,price_level_household,price_level_cf,price_level_gov,price_level_x,price_level_m,price_level_capital_stock,price_level_capital,real_rate_return,exchange_rate,human_capital_index,indicator_cig,indicator_xm,indicator_exchange_rate,indicator_outlier,indicator_real_rate_return,indicator_stat_capacity,corr_exp_share,current_share_household,current_share_gcf,current_share_gov,current_share_x,current_share_m,current_share_residual_trade,current_share_labour_gdp_na
1975,ABW,Aruba,Aruban Guilder,60656.999999999993,,618714965.8203125,712046325.68359375,346753295.8984375,642197998.046875,665583496.09375,700742248.53515625,2084919433.59375,405234985.3515625,380371704.1015625,520052062.98828125,1109668090.8203125,,0.036804728209972382,,,,,,,0.49397912621498108,0.38495880365371704,0.36564406752586365,0.49983936548233032,0.25700539350509644,0.47133886814117432,0.53711920976638794,0.61154234409332275,0.2853844165802002,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.39308947324752808,0.421616792678833,0.10174766182899475,0.63329023122787476,-0.51360511779785156,-0.036139048635959625,
1976,ABW,Aruba,Aruban Guilder,60585.999999999993,,674779846.19140625,776679382.32421875,378028228.75976562,695641174.31640625,720973144.53125,766634887.6953125,2278651367.1875,442064666.74804688,414942077.63671875,567317016.6015625,1218427124.0234375,,0.036502331495285034,,,,,,,0.47726595401763916,0.37432876229286194,0.35203325748443604,0.48263400793075562,0.251811146736145,0.45646554231643677,0.51756399869918823,0.59998667240142822,0.27683967351913452,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.39194875955581665,0.414294958114624,0.10115195065736771,0.63275343179702759,-0.50400984287261963,-0.036139190196990967,
1977,ABW,Aruba,Aruban Guilder,60365.999999999993,,736018676.7578125,849019775.390625,414006530.76171875,756214538.57421875,783754333.49609375,789870727.5390625,2494073486.328125,482241638.18359375,452653625.48828125,618877502.44140625,1336982543.9453125,,0.036270696669816971,,,,,,,0.45901939272880554,0.36270016431808472,0.35989159345626831,0.46398350596427917,0.24617226421833038,0.43974387645721436,0.55000907182693481,0.583332896232605,0.26824405789375305,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.4168032705783844,0.43324556946754456,0.10734140872955322,0.60871696472167969,-0.529967725276947,-0.036139447242021561,
1978,ABW,Aruba,Aruban Guilder,60103.0,,802825622.55859375,924476806.640625,450714080.81054688,822588378.90625,852539916.9921875,906766601.5625,2724651855.46875,526070068.359375,493792449.95117188,675123657.2265625,1466154174.8046875,,0.036095693707466125,,,,,,,0.44411578774452209,0.351211279630661,0.33020806312561035,0.44824090600013733,0.23861041665077209,0.42797935009002686,0.4924854040145874,0.57329463958740234,0.26008203625679016,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.39585915207862854,0.41011029481887817,0.10119718313217163,0.62375015020370483,-0.49477824568748474,-0.036138508468866348,
1979,ABW,Aruba,Aruban Guilder,59980.0,,875774841.30859375,1006469604.4921875,491336181.640625,896779663.0859375,929437316.89453125,1045745971.6796875,2983342529.296875,573881835.9375,538672973.6328125,736483032.2265625,1606880371.09375,,0.035966042429208755,,,,,,,0.4291137158870697,0.33932706713676453,0.30158683657646179,0.43176281452178955,0.23051920533180237,0.41859146952629089,0.419528603553772,0.528527557849884,0.25152584910392761,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.3753456175327301,0.38770744204521179,0.094497159123420715,0.66875249147415161,-0.490163117647171,-0.036139611154794693,
1980,ABW,Aruba,Aruban Guilder,60096.0,,955632141.11328125,1097319335.9375,540119628.90625,985666259.765625,1021570129.3945312,1158847656.25,3263031005.859375,626039001.46484375,587626831.0546875,803417480.46875,1760180541.9921875,,0.035872425884008408,,,,,,,0.41115820407867432,0.32518154382705688,0.28666040301322937,0.41353067755699158,0.22095519304275513,0.40171581506729126,0.37619304656982422,0.47055837512016296,0.24328991770744324,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.372492253780365,0.38447386026382446,0.0935911312699318,0.70887023210525513,-0.52328723669052124,-0.036140233278274536,
1981,ABW,Aruba,Aruban Guilder,60566.999999999993,,1042468261.71875,1197645629.8828125,591170959.47265625,1075860717.7734375,1115012695.3125,1247073120.1171875,3584267089.84375,682936340.33203125,641032348.6328125,876434204.1015625,1927193115.234375,,0.03580736368894577,,,,,,,0.39569586515426636,0.31381210684776306,0.28058058023452759,0.39916157722473145,0.213939368724823,0.38210418820381165,0.3709464967250824,0.45456996560096741,0.23416484892368317,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.37772953510284424,0.38866189122200012,0.096317194402217865,0.703673243522644,-0.53024619817733765,-0.036135680973529816,
1982,ABW,Aruba,Aruban Guilder,61345.0,,1137420654.296875,1306708251.953125,646280578.61328125,1178438964.84375,1221372436.5234375,1353783447.265625,3928567871.09375,745004882.8125,699306335.44921875,956094604.4921875,2109149414.0625,,0.035764485597610474,,,,,,,0.38123387098312378,0.30175665020942688,0.27224236726760864,0.38448303937911987,0.20523536205291748,0.36847561597824097,0.3729701042175293,0.45552000403404236,0.22577275335788727,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.38048863410949707,0.39308971166610718,0.0968998447060585,0.67903316020965576,-0.51336842775344849,-0.03614291176199913,
1983,ABW,Aruba,Aruban Guilder,62201.0,,1240583862.3046875,1425281616.2109375,706259643.5546875,1278336059.5703125,1324936645.5078125,1482412597.65625,4278736816.40625,812714538.57421875,762835083.0078125,1042981811.5234375,2307428710.9375,,0.035738922655582428,,,,,,,0.36743277311325073,0.29299843311309814,0.261873334646225,0.36946865916252136,0.20110511779785156,0.35932061076164246,0.36204388737678528,0.45071280002593994,0.21893852949142456,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.38084673881530762,0.38590902090072632,0.095579080283641815,0.67286127805709839,-0.49905404448509216,-0.036142103374004364,
1984,ABW,Aruba,Aruban Guilder,62836.0,,1352772827.1484375,1555416870.1171875,768142028.80859375,1384958129.8828125,1435214477.5390625,1601073730.46875,4671884277.34375,886577941.89453125,832175659.1796875,1137767700.1953125,2523481689.453125,,0.035726595669984818,,,,,,,0.35592621564865112,0.28490433096885681,0.25539037585258484,0.35732617974281311,0.1964583545923233,0.35030463337898254,0.3551977276802063,0.4407787024974823,0.2116696834564209,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.38411062955856323,0.3852514922618866,0.09565618634223938,0.66896563768386841,-0.49786198139190674,-0.036122038960456848,
1985,ABW,Aruba,Aruban Guilder,63026.0,,1476161376.953125,1692186523.4375,840871704.1015625,1512283203.125,1567566528.3203125,1879261230.46875,5117105468.75,967154357.91015625,907883300.78125,1241210571.2890625,2758896728.515625,,0.035723619163036346,,,,,,,0.34237098693847656,0.27475482225418091,0.22918389737606049,0.34409904479980469,0.19007274508476257,0.33546638488769531,0.315571665763855,0.44317007064819336,0.20404927432537079,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.35787951946258545,0.35727414488792419,0.089568480849266052,0.6755366325378418,-0.444094181060791,-0.036164592951536179,
1986,ABW,Aruba,Aruban Guilder,62643.999999999993,,1610108032.2265625,1848224731.4453125,920955688.4765625,1644112304.6875,1704153442.3828125,1984817504.8828125,5592875000.0,1055053955.078125,990193786.62109375,1353955932.6171875,3015559082.03125,,0.035728372633457184,,,,,,,0.32922488451004028,0.26620611548423767,0.2285631000995636,0.33151170611381531,0.185950368642807,0.32017597556114197,0.34406024217605591,0.4786105751991272,0.19703920185565948,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.37039414048194885,0.36434412002563477,0.093606039881706238,0.61791068315505981,-0.41011527180671692,-0.036139681935310364,
1987,ABW,Aruba,Aruban Guilder,61833.0,,1867349487.3046875,2143880615.234375,1070181762.6953125,1902740966.796875,1970834472.65625,2354671630.859375,6155543945.3125,1224690063.4765625,1149584228.515625,1571653198.2421875,3319945800.78125,,0.03578554093837738,,,,,,,0.341098815202713,0.2768157422542572,0.23169179260730743,0.34371486306190491,0.19418551027774811,0.33079469203948975,0.35247150063514709,0.51917934417724609,0.20408143103122711,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.36246752738952637,0.35357761383056641,0.092025488615036011,0.61189687252044678,-0.38390561938285828,-0.0360618494451046,
1988,ABW,Aruba,Aruban Guilder,61078.999999999993,,2218915283.203125,2543252929.6875,1274364990.234375,2251979492.1875,2336122314.453125,2784639892.578125,6851080566.40625,1453078247.0703125,1364367797.8515625,1864994628.90625,3689811523.4375,,0.035936679691076279,,,,,,,0.34970381855964661,0.28565004467964172,0.23964083194732666,0.35253593325614929,0.20215308666229248,0.33853799104690552,0.36246755719184875,0.53086823225021362,0.21046143770217896,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.36504977941513062,0.3510739803314209,0.0925910472869873,0.61451727151870728,-0.38693982362747192,-0.036292240023612976,
1989,ABW,Aruba,Aruban Guilder,61031.999999999993,,2485197021.484375,2657243652.34375,1437759277.34375,2505729492.1875,2596955566.40625,2835811035.15625,7645857421.875,1629334350.5859375,1528232543.9453125,2090646728.515625,4106038085.9375,,0.036049231886863708,,,,,,,0.36150655150413513,0.29956114292144775,0.27432966232299805,0.36433815956115723,0.21616692841053009,0.35036155581474304,0.42303064465522766,0.52280151844024658,0.21798118948936462,,,1.79,,Extrapolated,Benchmark,Market-based,Regular,,,,0.40428423881530762,0.37660130858421326,0.10271686315536499,0.60315477848052979,-0.45069226622581482,-0.036064930260181427,
1990,ABW,Aruba,Aruban Guilder,62148.999999999993,,2575255615.234375,3012511718.75,1513624267.578125,2583159423.828125,2669947998.046875,3110763427.734375,8407942382.8125,1693878906.25,1590753662.109375,2173776367.1875,4525354980.46875,,0.036517355591058731,,,,,,,0.37959837913513184,0.32053071260452271,0.27510941028594971,0.37587577104568481,0.23693712055683136,0.39558064937591553,0.36707913875579834,0.4817136824131012,0.23066948354244232,,,1.79,,Extrapolated,Benchmark,Market-based,Regular,,,,0.3946533203125,0.34381762146949768,0.091923154890537262,0.69927585124969482,-0.49384161829948425,-0.035828378051519394,
1991,ABW,Aruba,Aruban Guilder,64622.0,29200.000688433647,2804500488.28125,3177457519.53125,1633426757.8125,2790426025.390625,2907967529.296875,2809165039.0625,9223221679.6875,1828760253.90625,1718618530.2734375,2348107421.875,4972792968.75,,0.036902960389852524,0.00016520048666279763,,,0.26323866844177246,,,0.39665976166725159,0.33556067943573,0.34736287593841553,0.394671231508255,0.24930228292942047,0.40512111783027649,0.54211384057998657,0.53624802827835083,0.24604709446430206,0.87630081176757812,0.1144191175699234,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.47081634402275085,0.41186591982841492,0.1106470599770546,0.59290021657943726,-0.54924613237380981,-0.036983400583267212,0.64835703372955322
1992,ABW,Aruba,Aruban Guilder,68234.999999999985,30903.272330760956,2944516113.28125,3370537597.65625,1722105102.5390625,2955295898.4375,3054437011.71875,4018358886.71875,10109283203.125,1936334472.65625,1810358886.71875,2482541259.765625,5446231445.3125,,0.036487676203250885,0.00017745440709404647,,,0.2870144248008728,,,0.41658806800842285,0.3510906994342804,0.26687124371528625,0.41295444965362549,0.25962609052658081,0.43200293183326721,0.31975704431533813,0.48256903886795044,0.25288298726081848,0.85776454210281372,0.111404187977314,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.34680923819541931,0.30688917636871338,0.081750087440013885,0.77779453992843628,-0.47786003351211548,-0.035383027046918869,0.64835703372955322
1993,ABW,Aruba,Aruban Guilder,72504.0,32911.807298660278,3131370849.609375,3698532470.703125,1860497558.59375,3167873291.015625,3247895996.09375,3900730468.75,11047238281.25,2077835937.5,1958545410.15625,2667684570.3125,5945963378.90625,,0.035478256642818451,0.000189022917766124,,,0.31097200512886047,,,0.44363728165626526,0.37307253479957581,0.31063434481620789,0.43729832768440247,0.27265337109565735,0.47123527526855469,0.35465991497039795,0.45520380139350891,0.264467716217041,0.85189014673233032,0.11087834089994431,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.38787144422531128,0.33516180515289307,0.089089877903461456,0.82497179508209229,-0.60197627544403076,-0.0351187065243721,0.64835703372955322
